city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 18e,22.0,2.0,1.0,4.0,0.0,True,255000.0,Montmartre - Sacré Coeur - Abbesses,small
Paris 18e,24.0,2.0,1.0,6.0,1.0,True,310000.0,Montmartre - Sacré Coeur - Abbesses,small
Paris 13e,41.0,2.0,1.0,10.0,4.0,True,390000.0,Bièvre Sud - Tolbiac,small
Paris 17e,66.0,3.0,2.0,6.0,2.0,True,745000.0,La Fourche - Guy Moquet,medium
Paris 19e,29.5,1.0,0.0,7.0,0.0,True,247800.0,La Villette - Porte de Pantin,small
Paris 19e,44.31,2.0,1.0,6.0,4.0,True,414000.0,La Villette - Porte de Pantin,small
Paris 18e,69.0,3.0,2.0,6.0,2.0,True,690000.0,Barbès - Château Rouge,medium
Paris 9e,57.0,3.0,2.0,6.0,3.0,True,750000.0,Grands Boulevards,small
Paris 18e,94.0,3.0,2.0,6.0,0.0,True,309000.0,Barbès - Château Rouge,medium
Paris 10e,38.0,2.0,1.0,4.0,3.0,True,400000.0,Château d'Eau - Lancry,small
Paris 16e,69.0,3.0,2.0,7.0,0.0,True,600000.0,Porte de Saint-Cloud - Auteuil-Sud,medium
Paris 19e,90.0,4.0,3.0,5.0,1.0,True,670000.0,Flandre - Aubervilliers,medium
Paris 18e,70.0,3.0,1.0,6.0,1.0,True,815000.0,Montmartre - Sacré Coeur - Abbesses,medium
Paris 19e,79.0,3.0,2.0,6.0,2.0,True,900000.0,Secrétan - Jaurès,medium
Paris 12e,65.0,3.0,2.0,7.0,4.0,True,645000.0,Bel-Air - Sud,medium
Paris 18e,71.0,3.0,1.0,6.0,1.0,True,815000.0,Grandes Carrières - Clichy,medium
Paris 10e,98.0,5.0,3.0,5.0,4.0,True,999500.0,Château d'Eau - Lancry,medium
Paris 16e,70.0,3.0,1.0,7.0,5.0,True,1050000.0,Chaillot,medium
Paris 10e,39.0,2.0,1.0,6.0,6.0,True,435000.0,Saint-Vincent de Paul - Lariboisière,small
Paris 13e,67.0,3.0,2.0,5.0,0.0,True,730000.0,Croulebarbe,medium
Paris 13e,159.0,6.0,3.0,6.0,2.0,True,1600000.0,Salpétrière - Austerlitz,large
Paris 20e,37.9,2.0,1.0,5.0,1.0,True,325000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 15e,65.13,3.0,1.0,13.0,12.0,True,694000.0,Vaugirard - Parc des Expositions,medium
Paris 9e,27.0,1.0,0.0,8.0,6.0,True,320000.0,Trudaine - Rochechouart,small
Paris 18e,46.0,3.0,2.0,6.0,3.0,True,385900.0,La Chapelle - Marx Dormoy,small
